88,Phe
122,Oct
145,Psc
154,Psc
171,Peg
183,Scl
186,Psc
194,Psc
301,Cet
330,Cas
355,Cet
443,Psc
476,Peg
531,Cas
664,Cet
677,And
729,Peg
746,Cas
761,Scl
765,Phe
813,Psc
814,Oct
841,And
910,Cet
930,Scl
950,Scl
1067,Peg
1086,And
1168,Peg
1170,Cet
1196,Psc
1319,Psc
1366,And
1473,And
1501,And
1562,Cet
1599,Tuc
1645,Psc
1647,Tuc
1686,And
1708,Scl
1772,Psc
1803,Cet
1960,Cas
2006,Psc
2021,Hyi
2072,Phe
2081,Phe
2100,Cet
2210,Scl
2219,Psc
2224,Psc
2353,Cet
2355,And
2472,Phe
2474,Cas
2484,Tuc
2487,Tuc
2505,Cas
2548,Psc
2568,Psc
2599,Cas
2629,Tuc
2707,Cas
2762,Cet
2787,Cet
2802,Phe
2903,Psc
2912,And
2920,Cas
3031,And
3092,And
3093,Psc
3138,Psc
3179,Cas
3231,And
3245,Phe
3277,Phe
3300,Cas
3330,Tuc
3356,Scl
3405,Phe
3414,Cas
3419,Cet
3455,Cet
3456,Scl
3504,Cas
3559,Cet
3572,Cas
3632,Psc
3675,Psc
3685,Psc
3693,And
3697,Psc
3721,Cas
3730,Psc
3760,Psc
3781,Hyi
3786,Psc
3801,Cas
3810,Psc
3821,Cas
3881,And
3885,Psc
3909,Cet
3949,Phe
4084,Tuc
4147,Cet
4257,Cet
4267,Psc
4288,And
4292,Cas
4293,Tuc
4366,Psc
4371,Cet
4422,Cas
4427,Cas
4436,And
4463,And
4510,Psc
4577,Scl
4587,Cet
4770,Scl
4852,Scl
4889,Psc
4903,And
4906,Psc
4914,Cet
4979,Cet
5074,Psc
5081,Psc
5121,Cet
5131,Psc
5132,Psc
5141,Psc
5144,Psc
5164,Cet
5165,Phe
5204,Psc
5268,Tuc
5296,Cet
5300,Phe
5310,Psc
5317,And
5319,Psc
5336,Cas
5346,Psc
5348,Phe
5364,Cet
5434,And
5447,And
5454,Psc
5485,Cet
5493,And
5510,Cet
5518,Cas
5542,Cas
5544,Psc
5550,And
5571,Psc
5586,Psc
5589,Cas
5594,Cet
5737,Psc
5742,Psc
5743,Psc
5778,Psc
5799,Cet
5824,Psc
5833,Cet
5862,Phe
5896,Tuc
5951,Cet
6061,Psc
6193,Psc
6226,Cet
6242,Cas
6312,Cas
6315,Psc
6411,And
6429,Cet
6514,And
6537,Cet
6539,Cet
6670,Cet
6686,Cas
6692,Cas
6706,Psc
6732,Psc
6748,Cet
6813,And
6867,Phe
6960,Cet
6981,Psc
6999,And
7007,Psc
7078,Cas
7083,Phe
7097,Psc
7294,Cas
7345,Cet
7436,Psc
7450,Cet
7463,Scl
7513,And
7535,Psc
7588,Eri
7607,And
7650,Cas
7719,And
7740,Psc
7751,Eri
7818,And
7879,Hyi
7884,Psc
7955,Scl
7965,Cas
7978,Eri
7981,Psc
8016,Cas
8046,Cas
8068,Per
8102,Cet
8159,Psc
8198,Psc
8209,Scl
8241,Eri
8366,Hyi
8387,Ari
8497,Cet
8544,Ari
8645,Cet
8704,Per
8714,Per
8796,Tri
8814,And
8832,Ari
8833,Psc
8837,Phe
8882,Phe
8886,Cas
8903,Ari
8928,Hyi
8991,Hyi
8993,Ari
9007,Eri
9009,Cas
9021,And
9061,Cet
9110,Ari
9153,Ari
9222,Per
9236,Hyi
9326,Cet
9347,Cet
9353,Psc
9440,For
9459,Phe
9480,Cas
9487,Psc
9505,Per
9564,Cas
